NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;CO_ENTIDADE;NO_ENTIDADE;NO_CATEGORIA;NO_DEPENDENCIA;COMPLEX
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11022558;EIEEF HAP BITT TUPARI;Rural;Estadual;1
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11024275;CEEJA LUIZ VAZ DE CAMOES;Urbana;Estadual;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11024372;EMEIEF ANA NERY;Rural;Municipal;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11024666;EMEIEF BOA ESPERANCA;Rural;Municipal;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11024682;EEEFM EURIDICE LOPES PEDROSO;Urbana;Estadual;4
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11024828;EMEIEF IZIDORO STEDILE;Rural;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11024917;EMEIEF JOSE BASILIO DA GAMA;Rural;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11024968;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA;Urbana;Estadual;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025077;EMEIEF MARIA DE SOUZA PEGO;Rural;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025115;EMMEF MARTIM AFONSO DE SOUZA;Rural;Municipal;1
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025280;EMEIEF PADRE FEIJO;Rural;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025310;EMEIEF PEDRO ALEIXO;Rural;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025352;EMEIEF POTY;Rural;Municipal;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025620;EEEF TANCREDO DE ALMEIDA NEVES;Urbana;Estadual;4
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025638;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI;Urbana;Estadual;4
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11025654;EMEIEF FLORESTA ENCANTADA;Urbana;Municipal;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11037962;EIEEFM KON KOATT TUPARI;Rural;Estadual;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11038047;EIEEF SAW D JO TUPARI;Rural;Estadual;1
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11038373;EIEEFM BOATT GERAINNY;Rural;Estadual;4
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11039493;CRECHE MUNICIPAL CANTINHO DA ALEGRIA;Urbana;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11046252;EIEEFM ANOMAE TUPARI;Rural;Estadual;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11047402;EMEI MONTEIRO LOBATO;Urbana;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11047461;EMEIEF 17 DE JUNHO;Urbana;Municipal;3
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11050594;EMEF MARIOMA PEREIRA DA SILVA;Urbana;Municipal;2
2025;Norte;RO;1100015;Alta Floresta D'Oeste;11051264;CRECHE MUNICIPAL HEITOR MOREIRA UGOLINI;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11006757;CENTRO ESTADUAL DE EDUCACAO DE JOVENS E ADULTOS ARIQUEMES;Urbana;Estadual;4
2025;Norte;RO;1100023;Ariquemes;11006765;ESCOLA ADVENTISTA DE ARIQUEMES;Urbana;Privada;3
2025;Norte;RO;1100023;Ariquemes;11006773;EEEFM CORA CORALINA;Urbana;Estadual;4
2025;Norte;RO;1100023;Ariquemes;11006846;EEEF ALBINA MARCIO SORDI;Urbana;Estadual;3
2025;Norte;RO;1100023;Ariquemes;11006854;EMEF ALDEMIR LIMA CANTANHEDE;Urbana;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11006889;EEEFM ANISIO TEIXEIRA;Urbana;Estadual;5
2025;Norte;RO;1100023;Ariquemes;11006900;EMEIEF ARCO-IRIS;Rural;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007028;CEI CASTORZINHO;Urbana;Privada;2
2025;Norte;RO;1100023;Ariquemes;11007079;EMEF DR DIRCEU DE ALMEIDA;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;Urbana;Estadual;4
2025;Norte;RO;1100023;Ariquemes;11007222;EMEIEF JORGE TEIXEIRA;Urbana;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007249;EMEIEF HENRIQUE DIAS;Rural;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007257;EMEF FLORDINICE MAIA GOMES;Urbana;Municipal;1
2025;Norte;RO;1100023;Ariquemes;11007281;EEEFM JARDIM DAS PEDRAS;Urbana;Estadual;3
2025;Norte;RO;1100023;Ariquemes;11007346;EMEIEF JORGE LUIZ MOULAZ;Rural;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11007443;EMEIEF MAFALDA RODRIGUES;Rural;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007451;EMEF MAGDALENA TAGLIAFERRO;Urbana;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007508;EMEIEF MARIO QUINTANA;Urbana;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007524;EEEFM MIGRANTES;Urbana;Estadual;3
2025;Norte;RO;1100023;Ariquemes;11007605;EMEIEF PADRE ANGELO SPADARI;Rural;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007656;COLEGIO DINAMICO EDUCACAO BASICA;Urbana;Privada;4
2025;Norte;RO;1100023;Ariquemes;11007702;EMEIEF PROF PEDRO LOUBACK;Urbana;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007710;EMEF PROFª EONISSE MARTINS;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11007737;EMEIEF ROBERTO TURBAY;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11007834;EMEIEF VINICIUS DE MORAES;Rural;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11007885;EEEMTI HEITOR VILLA-LOBOS;Urbana;Estadual;2
2025;Norte;RO;1100023;Ariquemes;11007893;EEEFM RICARDO CANTANHEDE;Urbana;Estadual;4
2025;Norte;RO;1100023;Ariquemes;11007907;EMEIEF PROFª LAURA DE AVILA;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11007923;CMEI BALAO MAGICO;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11007931;EMEIEF CHAPEUZINHO VERMELHO;Urbana;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11007958;EMEIEF PINGO DE GENTE;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11036753;CMEI MADRE TEREZA DE CALCUTA;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11036800;EMEIEF SONHO MEU;Urbana;Municipal;2
2025;Norte;RO;1100023;Ariquemes;11041439;EMEIEF PROFª MARIA INES ALVES DE FREITAS;Urbana;Municipal;3
2025;Norte;RO;1100023;Ariquemes;11041986;EMEIEF PROF ENOQUE NUNES DA SILVA;Rural;Municipal;2
